	close	0	macdhist	1	2
199	1440.79	38.050404756	14.7512277656	1786.5125	45.5232493379
200	1470.07	79.8234241948	15.1800005377	1784.79095	49.5153022352
201	1482.09	124.297495584	15.7744875078	1782.8531	51.0995249944
202	1474.51	93.8016258929	15.1548974787	1781.04625	50.0332610617
203	1514.34	131.030773368	16.7978818049	1779.51795	55.3101998086
204	1493.82	129.96259151	15.8831941686	1777.77085	52.2487397366
205	1497.58	92.9136432176	14.926648599	1775.92905	52.7646635303
206	1457.05	-7.64825906667	11.1335058051	1774.01615	46.8843310119
207	1454.49	-31.4616426548	8.15906282151	1772.00945	46.5315910534
208	1433.17	-112.13426941	4.6378747066	1769.897	43.5902320469
209	1433.82	-131.820316631	2.35008725454	1767.85805	43.7070648686
210	1417.26	-145.33675198	-0.148357276894	1766.00095	41.3569416816
211	1414.32	-128.255789557	-1.77833027631	1764.06015	40.9361015502
212	1415.38	-96.3509724766	-2.51919243682	1762.2412	41.1685472536
213	1398.24	-113.96181563	-3.81967966211	1760.3646	38.5281617574
214	1371.15	-148.600933568	-6.02903527937	1758.32385	34.7361761855
215	1369.44	-141.992676481	-7.05880022611	1756.16345	34.5053175075
216	1381.49	-95.7070392122	-6.40101912523	1754.28885	37.649996349
217	1402.24	-42.7356300299	-4.15019593455	1752.3621	42.7477468708
218	1402.91	-21.4588426317	-2.29087624873	1750.40595	42.9100560555
219	1406.23	-41.4237064704	-0.60007380589	1748.37935	43.7608747711
220	1421.19	26.9349601185	1.64067593221	1746.4208	47.5537621816
221	1425.68	80.7380064946	3.43674780431	1744.4353	48.6726326582
222	1467.47	180.065068413	7.23251696641	1742.48225	57.714663412
223	1467.3	173.081421921	9.38840361466	1740.2654	57.6701563063
224	1496.1	197.796955965	12.2308281824	1738.04875	62.8911053403
225	1483.36	132.369768142	12.6756945384	1735.77695	59.4008509727
226	1443.16	52.7782406785	9.81317370599	1733.49225	49.9760700914
227	1415.26	-5.25585795583	5.79029578775	1730.9896	44.6778096537
228	1420.62	-22.2797100205	3.36039267917	1728.66325	45.8651986437
229	1418.92	-31.5054105214	1.59810313521	1726.4559	45.5314084673
230	1441.23	-2.62041711832	1.87526267762	1724.45715	50.6112868511
231	1462.58	67.5760548128	3.35064117524	1722.6089	54.9420241479
232	1446.34	2.76430332178	3.09315554993	1720.5858	51.2600084796
233	1470.96	59.067656491	4.36358190188	1718.4723	56.0668522271
234	1504.67	130.806550498	7.09523311024	1716.6497	61.6445729536
235	1512.84	143.314223532	8.95347947442	1715.09485	62.8747889313
236	1504.8	115.918909098	9.11198913659	1713.5829	60.8078259771
237	1492.68	59.4905812837	7.91568329012	1711.94555	57.7270051989
238	1517.24	109.347686299	8.25570812468	1710.58355	61.935593527
239	1517.8	107.931121192	7.99041024235	1709.29235	62.0284209802
240	1522.4	80.7847707321	7.59922676208	1707.88275	62.8302856604
241	1475.87	19.1866082655	3.86932978632	1706.2125	51.0798945244
242	1477.41	-13.1495002063	1.30121535049	1704.6602	51.4038293859
243	1457.24	-67.1929651373	-1.79253870892	1702.85525	47.012893033
244	1409.26	-185.446737908	-6.82425747353	1700.73575	38.572247823
245	1414.88	-152.508683489	-9.37070331477	1698.69905	39.9326211404
246	1410.87	-137.265458006	-10.8191457108	1696.5298	39.2644529852
247	1398.23	-134.072824986	-12.0295384926	1694.21635	37.1541138728
248	1398.23	-107.933413175	-12.193202576	1691.9138	37.1541138728
249	1366.1	-124.440136711	-13.7148886115	1689.5139	32.0723296344
250	1366.65	-102.480580517	-13.8911669419	1687.00975	32.2431733544
251	1396.07	-65.3682198697	-11.3408522525	1684.6759	40.8176766502
252	1358.16	-94.3231970039	-11.4862487998	1682.0701	34.7203936415
253	1353.95	-104.905356564	-11.1368082435	1679.3914	34.1110033081
254	1375.16	-66.565958915	-8.84790357554	1676.73335	39.8398004577
255	1383.4	-49.2129611005	-6.27091747873	1674.1062	41.9514092305
256	1382.26	-7.66029604353	-4.23277439003	1671.32755	41.7331624687
257	1331.25	-145.258703597	-5.81215003384	1668.3889	33.3681200235
258	1325.62	-168.074284631	-6.66683020549	1665.3564	32.5916390656
259	1322.68	-148.344263264	-6.83561697774	1662.27215	32.1706387958
260	1414.58	116.547573139	-0.497603983415	1659.72015	52.7268667354
261	1405.06	104.96379481	3.11524260844	1657.10245	51.0025244022
262	1390.2	69.8016851022	4.48272971335	1654.284	48.3448122141
263	1375.12	16.5624114288	4.34692612415	1651.31685	45.7399816603
264	1358.76	-19.847999162	3.18441396641	1648.45415	43.0311665661
265	1375.16	28.1813971482	3.52273031991	1645.4883	46.4545176582
266	1382.05	41.1921863317	4.16906680822	1642.5823	47.8717698989
